PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PCT_INHIB_DD2
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percent inhibition of P. falciparum Dd2 growth.
RESULT_UNIT,,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,2
1,85857918,11957475,C1CN(CCN1CC(C(C2=CC=CC=C2)C3=CC=CC=C3)O)C4=CC(=CC=C4)Cl.Cl,Inactive,,,,4
2,85857919,6618861,C1CN(CC=C1C2=CNC3=CC=CC=C32)CC4=CC=CC=C4,Active,,,,80
3,85857920,21924871,C1=CC(=CC=C1C2=CC3=C(N2)C=C(C=C3)C(=N)N)C(=N)N.Cl,Active,,,,99
4,85857921,1365597,C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)N)N,Active,,,,96
5,85857922,10115148,C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)Cl)Cl,Active,,,,99
6,85857923,2540886,C1=CC=NC(=C1)CCNC2=C3C=CC(=CC3=NC=C2)Cl,Active,,,,72
7,85857924,336473,CC(=O)C1C(=O)CCC1=O,Inactive,,,,2
8,85857925,44521947,COC(=O)C1=C(C=C(C=C1)OCC(CO)O)O,Inactive,,,,23
9,85857926,13698519,CC1=C(C(=O)C2=CC=CC=C2N1)[N+](=O)[O-],Inactive,,,,-2
10,85857927,597035,COC1=CC(=C(C=C1)C(=O)CC(=O)C2=C(C=C(C=C2)OC)OC)OC,Inactive,,,,-2
11,85857928,44521948,CN(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3O)Cl.C(=C\C(=O)O)\C(=O)O,Active,,,,80
12,85857929,44521949,C1CN(CCN1CCO)C2CC3=C(C=C(C=C3)F)SC4=C2C=C(C=C4)Cl.C(=C\C(=O)O)\C(=O)O,Inactive,,,,26
13,85857930,135454173,CC1=CC(=O)NC(=N1)NC#N,Inactive,,,,3
14,85857931,81448,CN1C(=C(C(=O)NC1=O)N=O)N,Active,,,,82
15,85857932,250735,CC(C)CN1C(=CC(=O)N(C1=O)C)N,Inactive,,,,0
16,85857933,23437061,C1=CC(=CC=C1OCCCON)Cl.Cl,Inactive,,,,0
17,85857934,44521950,COC1=CC=C(C=C1)OCCCON.Cl,Inactive,,,,-3
18,85857935,44521951,COC1=CC=C(C=C1)OCCON.Cl,Inactive,,,,-3
19,85857936,44521952,C1=CC=C(C=C1)OCCCON.Cl,Inactive,,,,-4
20,85857937,3005983,CC(=NNC(=S)NC)C1=CC=CC=N1,Active,,,,99
21,85857938,23133323,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC.Cl,Inactive,,,,16
22,85857939,1885106,CC1=CC(=C2C=C(C=CC2=N1)OC)NC3=CC(=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,Active,,,,100
23,85857940,670727,CC1=CC(=NO1)NC(=O)C2=CC=C(C=C2)C3=CC=CC=C3,Active,,,,57
24,85857941,2815187,CCC1=CC=C(C=C1)C(=O)NC(=O)C2=CC=CC=C2O,Active,,,,84
25,85857942,2812808,C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)N3C=CC(=N3)C(F)(F)F,Active,,,,85
26,85857943,364462,C1C2CC3CC1CC(C2)(C3)NC(=O)C(=O)C4=CNC5=CC=CC=C54,Inactive,,,,2
27,85857944,16219340,CC[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](C3=C4C=C(C=CC4=NC=C3)OCC)O.Cl,Active,,,,99
28,85857945,91558,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.Cl,Active,,,,99
29,85857946,21125220,CC[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](C3=C4C=C(C=CC4=NC=C3)OC)O.Br,Active,,,,62
30,85857947,1160282,C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)CC4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)N)N,Active,,,,96
31,85857948,2728436,CN(C)CCNC1=CC(=NC2=C1C=C(C=C2)OC)C3=CC=CC=C3,Inactive,,,,23
32,85857949,2852748,CC(=O)OCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCOC(=O)C)C1=O,Inactive,,,,1
33,85857950,2823087,C1=CC(=CC(=C1)NC(=O)NC2=CC3=NON=C3C=C2)C(F)(F)F,Active,,,,76
34,85857951,2189542,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)N=NC(=O)C2=CC=NC=C2,Active,,,,99
35,85857952,3136637,C1=CC=C(C=C1)N2C(=O)C(=CC3=CC(=C(C=C3)O)O)SC2=O,Inactive,,,,17
36,85857953,2807151,C1=CC=C(C=C1)C2(C3=C(C=CC(=C3)Cl)N=C2N)O,Active,,,,51
37,85857954,5891,CN(C)C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)NC(=O)[C@@H](CC4=CC=C(C=C4)OC)N)O,Active,,,,100
38,85857955,598489,C1=CC=C2C=C(C(=CC2=C1)C(=O)NC3=CC=CC=C3Cl)O,Active,,,,72
39,85857956,1486555,CC1=C(C(=O)N(N1)C2=CC(=CC=C2)Cl)C3=CC=C(C=C3)Cl,Inactive,,,,41
40,85857957,2840397,C1=CC=C(C=C1)C2C3=C(C4=CC=CC=C4C3=O)NC5=CC=CC=C5S2,Active,,,,94
41,85857958,3102205,CCOC(=O)C1=C(NC2=C(C1C3=CC=C(C=C3)Cl)C(=O)CC(C2)(C)C)C,Active,,,,84
42,85857959,182786,CCN(CC)CCNC1=CC=C(C=C1)NC2=CC=NC3=CC4=CC=CC=C4C=C23,Active,,,,99
43,85857960,182807,CCN1CCCC(C1)NC2=CC=NC3=CC4=CC=CC=C4C=C23,Active,,,,100
44,85857961,1718804,C1=CC=C(C=C1)OCCOC2=CC=C(C=C2)NC3=CC=NC4=CC5=CC=CC=C5C=C34,Active,,,,96
45,85857962,741602,CC1=C(C=C(C=C1)NC2=CC(=NC3=NC=NN23)C)Cl,Active,,,,91
46,85857963,3808173,CCC(C)NCC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O,Active,,,,76
47,85857964,1241591,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F,Inactive,,,,15
48,85857965,2870225,C1CCC2=C(C1)C(=O)C3=C(N2)C=C(C=C3)Cl,Active,,,,73
49,85857966,2832014,C1CCN(CC1)C2=CC=C(C=C2)NC3=CC=NC4=CC5=CC=CC=C5C=C34,Inactive,,,,36
50,85857967,2851165,COC1=C(C=CC(=C1)C=NNC2=C3C=CC(=CC3=NC=C2)Cl)O,Active,,,,100
51,85857968,738986,C1=CC=C2C(=C1)NC(=N2)C3=NC(=CC=C3)C4=NC5=CC=CC=C5N4,Inactive,,,,24
52,85857969,1471585,C1C(=O)C2=C(O1)C=CC3=CC=CC=C32,Inactive,,,,3
53,85857970,2826657,C1=CC=NC(=C1)C=NNC(=S)NC2=CC=CC(=C2)C(F)(F)F,Active,,,,99
54,85857971,44521953,C1=CC=C(C(=C1)NC2=NC(=NC=C2[N+](=O)[O-])NC3=CC=CC=C3O)O.C(=O)(C(F)(F)F)O,Active,,,,80
55,85857972,2211551,C1=CC(=CC(=C1)[N+](=O)[O-])NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F,Active,,,,87
56,85857973,17520632,COC1=CC=C(C=C1)S(=O)(=O)N2CCC(CC2)NS(=O)(=O)C3=CC=C(C=C3)F,Inactive,,,,-3
57,85857974,17362734,C1CC(OC1)CNC(=O)CCOC2=CC=CC=C2,Inactive,,,,-11
58,85857975,2807205,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3=CC(=C(C=C3Cl)Cl)Cl,Active,,,,57
59,85857976,612761,C1=CC(=CC=C1C2=C(C=NN2)C=C3C(=O)N(C(=N)S3)C4=NC=CS4)F,Unspecified,,,,
60,85857977,2881787,C1CCN(CC1)CCN2C3=CC=CC=C3N(C2=N)CC(=O)C4=CC(=CC=C4)[N+](=O)[O-].Br,Inactive,,,,0
61,85857978,3581298,C1=CC=C2C=C(C(=CC2=C1)C(=O)NC3=C(C=C(C=C3)[N+](=O)[O-])Cl)O,Inactive,,,,28
62,85857979,783341,CC1=CC(=C(C=C1)C)N2CCN(CC2)CC3=CC=CC=C3O,Active,,,,90
63,85857980,2796066,C1CCN(CC1)CC(COC2=CC=C(C=C2)NC(=O)NC3=CC=C(C=C3)Cl)O,Inactive,,,,13
